"","fromDORA","toDORA"
"1","Art 10, Abs 1","Art 17, Abs 1"
"2","Art 10, Abs 1","Art 17, Abs 2"
"3","Art 10, Abs 1","Art 17, Abs 3"
"4","Art 10, Abs 2","Art 10, Abs 1"
"5","Art 10, Abs 2","Art 10, Abs 2"
"6","Art 10, Abs 2","Art 10, Abs 3"
"7","Art 10, Abs 2","Art 10, Abs 4"
"8","Art 10, Abs 2","Art 11, Abs 1"
"9","Art 10, Abs 2","Art 11, Abs 2"
"10","Art 10, Abs 2","Art 11, Abs 3"
"11","Art 10, Abs 2","Art 11, Abs 4"
"12","Art 10, Abs 2","Art 11, Abs 5"
"13","Art 10, Abs 2","Art 11, Abs 6"
"14","Art 10, Abs 2","Art 11, Abs 7"
"15","Art 10, Abs 2","Art 11, Abs 8"
"16","Art 10, Abs 2","Art 11, Abs 9"
"17","Art 10, Abs 2","Art 11, Abs 10"
"18","Art 10, Abs 2","Art 11, Abs 11"
"19","Art 10, Abs 2","Art 12, Abs 1"
"20","Art 10, Abs 2","Art 12, Abs 2"
"21","Art 10, Abs 2","Art 12, Abs 3"
"22","Art 10, Abs 2","Art 12, Abs 4"
"23","Art 10, Abs 2","Art 12, Abs 5"
"24","Art 10, Abs 2","Art 12, Abs 6"
"25","Art 10, Abs 2","Art 12, Abs 7"
"26","Art 10, Abs 2","Art 13, Abs 1"
"27","Art 10, Abs 2","Art 13, Abs 2"
"28","Art 10, Abs 2","Art 13, Abs 3"
"29","Art 10, Abs 2","Art 13, Abs 4"
"30","Art 10, Abs 2","Art 13, Abs 5"
"31","Art 10, Abs 2","Art 13, Abs 6"
"32","Art 10, Abs 2","Art 13, Abs 7"
"33","Art 10, Abs 2","Art 14, Abs 1"
"34","Art 10, Abs 2","Art 14, Abs 2"
"35","Art 10, Abs 2","Art 14, Abs 3"
"36","Art 10, Abs 2","Art 15, Abs 1"
"37","Art 10, Abs 2","Art 16, Abs 1"
"38","Art 10, Abs 2","Art 16, Abs 2"
"39","Art 10, Abs 2","Art 16, Abs 3"
"40","Art 10, Abs 2","Art 17, Abs 1"
"41","Art 10, Abs 2","Art 17, Abs 2"
"42","Art 10, Abs 2","Art 17, Abs 3"
"43","Art 10, Abs 2","Art 18, Abs 1"
"44","Art 10, Abs 2","Art 18, Abs 2"
"45","Art 10, Abs 2","Art 18, Abs 3"
"46","Art 10, Abs 2","Art 18, Abs 4"
"47","Art 10, Abs 2","Art 19, Abs 1"
"48","Art 10, Abs 2","Art 19, Abs 2"
"49","Art 10, Abs 2","Art 19, Abs 3"
"50","Art 10, Abs 2","Art 19, Abs 4"
"51","Art 10, Abs 2","Art 19, Abs 5"
"52","Art 10, Abs 2","Art 19, Abs 6"
"53","Art 10, Abs 2","Art 19, Abs 7"
"54","Art 10, Abs 2","Art 19, Abs 8"
"55","Art 11, Abs 1","Art 6, Abs 1"
"56","Art 11, Abs 1","Art 6, Abs 10"
"57","Art 11, Abs 2","Art 14, Abs 1"
"58","Art 11, Abs 2","Art 14, Abs 2"
"59","Art 11, Abs 2","Art 14, Abs 3"
"60","Art 11, Abs 2","Art 12, Abs 1"
"61","Art 11, Abs 2","Art 12, Abs 2"
"62","Art 11, Abs 2","Art 12, Abs 3"
"63","Art 11, Abs 2","Art 12, Abs 4"
"64","Art 11, Abs 2","Art 12, Abs 5"
"65","Art 11, Abs 2","Art 12, Abs 6"
"66","Art 11, Abs 2","Art 12, Abs 7"
"67","Art 11, Abs 2","Art 19, Abs 1"
"68","Art 11, Abs 2","Art 19, Abs 2"
"69","Art 11, Abs 2","Art 19, Abs 3"
"70","Art 11, Abs 2","Art 19, Abs 4"
"71","Art 11, Abs 2","Art 19, Abs 5"
"72","Art 11, Abs 2","Art 19, Abs 6"
"73","Art 11, Abs 2","Art 19, Abs 7"
"74","Art 11, Abs 2","Art 19, Abs 8"
"75","Art 11, Abs 3","Art 6, Abs 1"
"76","Art 11, Abs 3","Art 6, Abs 10"
"77","Art 11, Abs 6","Art 14, Abs 1"
"78","Art 11, Abs 6","Art 14, Abs 2"
"79","Art 11, Abs 6","Art 14, Abs 3"
"80","Art 11, Abs 6","Art 12, Abs 1"
"81","Art 11, Abs 6","Art 12, Abs 2"
"82","Art 11, Abs 6","Art 12, Abs 3"
"83","Art 11, Abs 6","Art 12, Abs 4"
"84","Art 11, Abs 6","Art 12, Abs 5"
"85","Art 11, Abs 6","Art 12, Abs 6"
"86","Art 11, Abs 6","Art 12, Abs 7"
"87","Art 11, Abs 7","Art 14, Abs 1"
"88","Art 11, Abs 7","Art 14, Abs 2"
"89","Art 11, Abs 7","Art 14, Abs 3"
"90","Art 11, Abs 11","Art 10, Abs 1"
"91","Art 11, Abs 11","Art 10, Abs 2"
"92","Art 11, Abs 11","Art 10, Abs 3"
"93","Art 11, Abs 11","Art 10, Abs 4"
"94","Art 13, Abs 2","Art 11, Abs 1"
"95","Art 13, Abs 2","Art 11, Abs 2"
"96","Art 13, Abs 2","Art 11, Abs 3"
"97","Art 13, Abs 2","Art 11, Abs 4"
"98","Art 13, Abs 2","Art 11, Abs 5"
"99","Art 13, Abs 2","Art 11, Abs 6"
"100","Art 13, Abs 2","Art 11, Abs 7"
"101","Art 13, Abs 2","Art 11, Abs 8"
"102","Art 13, Abs 2","Art 11, Abs 9"
"103","Art 13, Abs 2","Art 11, Abs 10"
"104","Art 13, Abs 2","Art 11, Abs 11"
"105","Art 13, Abs 3","Art 6, Abs 1"
"106","Art 13, Abs 3","Art 6, Abs 10"
"107","Art 13, Abs 3","Art 26, Abs 1"
"108","Art 13, Abs 3","Art 26, Abs 2"
"109","Art 13, Abs 3","Art 26, Abs 3"
"110","Art 13, Abs 3","Art 26, Abs 4"
"111","Art 13, Abs 3","Art 26, Abs 5"
"112","Art 13, Abs 3","Art 26, Abs 6"
"113","Art 13, Abs 3","Art 26, Abs 7"
"114","Art 13, Abs 3","Art 26, Abs 8"
"115","Art 13, Abs 3","Art 26, Abs 9"
"116","Art 13, Abs 3","Art 26, Abs 10"
"117","Art 13, Abs 3","Art 26, Abs 11"
"118","Art 13, Abs 3","Art 10, Abs 1"
"119","Art 13, Abs 3","Art 10, Abs 2"
"120","Art 13, Abs 3","Art 10, Abs 3"
"121","Art 13, Abs 3","Art 10, Abs 4"
"122","Art 13, Abs 3","Art 11, Abs 1"
"123","Art 13, Abs 3","Art 11, Abs 2"
"124","Art 13, Abs 3","Art 11, Abs 3"
"125","Art 13, Abs 3","Art 11, Abs 4"
"126","Art 13, Abs 3","Art 11, Abs 5"
"127","Art 13, Abs 3","Art 11, Abs 6"
"128","Art 13, Abs 3","Art 11, Abs 7"
"129","Art 13, Abs 3","Art 11, Abs 8"
"130","Art 13, Abs 3","Art 11, Abs 9"
"131","Art 13, Abs 3","Art 11, Abs 10"
"132","Art 13, Abs 3","Art 11, Abs 11"
"133","Art 13, Abs 3","Art 12, Abs 1"
"134","Art 13, Abs 3","Art 12, Abs 2"
