"","Index","Wortlaut"
"1","HGB § 1 ","§ 1
"
"2","HGB § 1 (1)"," Kaufmann im Sinne dieses Gesetzbuchs ist, wer ein Handelsgewerbe betreibt."
"3","HGB § 1 (2)"," Handelsgewerbe ist jeder Gewerbebetrieb, es sei denn, daß das Unternehmen nach Art oder Umfang einen in kaufmännischer Weise eingerichteten Geschäftsbetrieb nicht erfordert."
"4","HGB § 2 ","§ 2
Ein gewerbliches Unternehmen, dessen Gewerbebetrieb nicht schon nach § 1 Abs. 2 Handelsgewerbe ist, gilt als Handelsgewerbe im Sinne dieses Gesetzbuchs, wenn die Firma des Unternehmens in das Handelsregister eingetragen ist. Der Unternehmer ist berechtigt, aber nicht verpflichtet, die Eintragung nach den für die Eintragung kaufmännischer Firmen geltenden Vorschriften herbeizuführen. Ist die Eintragung erfolgt, so findet eine Löschung der Firma auch auf Antrag des Unternehmers statt, sofern nicht die Voraussetzung des § 1 Abs. 2 eingetreten ist."
"5","HGB § 3 ","§ 3
"
"6","HGB § 3 (1)"," Auf den Betrieb der Land- und Forstwirtschaft finden die Vorschriften des § 1 keine Anwendung."
"7","HGB § 3 (2)"," Für ein land- oder forstwirtschaftliches Unternehmen, das nach Art und Umfang einen in kaufmännischer Weise eingerichteten Geschäftsbetrieb erfordert, gilt § 2 mit der Maßgabe, daß nach Eintragung in das Handelsregister eine Löschung der Firma nur nach den allgemeinen Vorschriften stattfindet, welche für die Löschung kaufmännischer Firmen gelten."
"8","HGB § 3 (3)"," Ist mit dem Betrieb der Land- oder Forstwirtschaft ein Unternehmen verbunden, das nur ein Nebengewerbe des land- oder forstwirtschaftlichen Unternehmens darstellt, so finden auf das im Nebengewerbe betriebene Unternehmen die Vorschriften der Absätze 1 und 2 entsprechende Anwendung."
"9","HGB § 4 ","§ 4(weggefallen)"
"10","HGB § 5 ","§ 5
Ist eine Firma im Handelsregister eingetragen, so kann gegenüber demjenigen, welcher sich auf die Eintragung beruft, nicht geltend gemacht werden, daß das unter der Firma betriebene Gewerbe kein Handelsgewerbe sei."
"11","HGB § 6 ","§ 6
"
"12","HGB § 6 (1)"," Die in betreff der Kaufleute gegebenen Vorschriften finden auch auf die Handelsgesellschaften Anwendung."
"13","HGB § 6 (2)"," Die Rechte und Pflichten eines Vereins, dem das Gesetz ohne Rücksicht auf den Gegenstand des Unternehmens die Eigenschaft eines Kaufmanns beilegt, bleiben unberührt, auch wenn die Voraussetzungen des § 1 Abs. 2 nicht vorliegen."
"14","HGB § 7 ","§ 7
Durch die Vorschriften des öffentlichen Rechtes, nach welchen die Befugnis zum Gewerbebetrieb ausgeschlossen oder von gewissen Voraussetzungen abhängig gemacht ist, wird die Anwendung der die Kaufleute betreffenden Vorschriften dieses Gesetzbuchs nicht berührt."
"15","HGB NA ","Zweiter AbschnittHandelsregister; Unternehmensregister"
"16","HGB § 8 ","§ 8Handelsregister
"
"17","HGB § 8 (1)"," Das Handelsregister wird von den Gerichten elektronisch geführt."
"18","HGB § 8 (2)"," Andere Datensammlungen dürfen nicht unter Verwendung oder Beifügung der Bezeichnung ""Handelsregister"" in den Verkehr gebracht werden."
"19","HGB § 8a ","§ 8aEintragungen in das Handelsregister; Verordnungsermächtigung
"
"20","HGB § 8a (1)"," Eine Eintragung in das Handelsregister wird wirksam, sobald sie in den für die Handelsregistereintragungen bestimmten Datenspeicher aufgenommen ist und auf Dauer inhaltlich unverändert in lesbarer Form wiedergegeben werden kann."
"21","HGB § 8a (2)"," Die Landesregierungen werden ermächtigt, durch Rechtsverordnung nähere Bestimmungen über die elektronische Führung des Handelsregisters, die elektronische Anmeldung, die elektronische Einreichung von Dokumenten sowie deren Aufbewahrung zu treffen, soweit nicht durch das Bundesministerium der Justiz nach § 387 Abs. 2 des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit entsprechende Vorschriften erlassen werden. Dabei können sie auch Einzelheiten der Datenübermittlung regeln sowie die Form zu übermittelnder elektronischer Dokumente festlegen, um die Eignung für die Bearbeitung durch das Gericht sicherzustellen. Die Landesregierungen können die Ermächtigung durch Rechtsverordnung auf die Landesjustizverwaltungen übertragen."
"22","HGB § 8b ","§ 8bUnternehmensregister
"
"23","HGB § 8b (1)"," Das Unternehmensregister wird vorbehaltlich einer Regelung nach § 9a Abs. 1 vom Bundesministerium der Justiz elektronisch geführt."
"24","HGB § 8b (2)"," Über die Internetseite des Unternehmensregisters sind zugänglich: 1.Eintragungen im Handelsregister und zum Handelsregister eingereichte Dokumente;2.Eintragungen im Genossenschaftsregister und zum Genossenschaftsregister eingereichte Dokumente;2a.Eintragungen im Gesellschaftsregister und zum Gesellschaftsregister eingereichte Dokumente;3.Eintragungen im Partnerschaftsregister und zum Partnerschaftsregister eingereichte Dokumente;4.Unterlagen der Rechnungslegung und Unternehmensberichte, die nach diesem Gesetz, dem Publizitätsgesetz, dem Eisenbahnregulierungsgesetz, dem Energiewirtschaftsgesetz, dem Entgelttransparenzgesetz, dem Kapitalanlagegesetzbuch, dem Telekommunikationsgesetz, dem Vermögensanlagengesetz oder dem Wertpapierhandelsgesetz offengelegt wurden, mit Ausnahme der zur dauerhaften Hinterlegung eingestellten Unterlagen;5.gesellschaftsrechtliche Bekanntmachungen im Bundesanzeiger;6.im Aktionärsforum veröffentlichte Eintragungen nach § 127a des Aktiengesetzes;7.Veröffentlichungen von Unternehmen nach dem Wertpapierhandelsgesetz oder dem Vermögensanlagengesetz im Bundesanzeiger, von Bietern, Gesellschaften, Vorständen und Aufsichtsräten nach dem Wertpapiererwerbs- und Übernahmegesetz im Bundesanzeiger sowie Veröffentlichungen nach der Börsenzulassungs-Verordnung im Bundesanzeiger;8.Bekanntmachungen und Veröffentlichungen von Kapitalverwaltungsgesellschaften und extern verwalteten Investmentgesellschaften nach dem Kapitalanlagegesetzbuch, dem Investmentgesetz und dem Investmentsteuergesetz im Bundesanzeiger;9.Veröffentlichungen und sonstige der Öffentlichkeit zur Verfügung gestellte Informationen nach den §§ 5, 26 Absatz 1 und 2, § 40 Absatz 1, den §§ 41, 46 Absatz 2, den §§ 50, 51 Absatz 2 und § 127 des Wertpapierhandelsgesetzes, sofern die Veröffentlichung nicht bereits über Nummer 7 in das Unternehmensregister eingestellt wird;10.Mitteilungen über kapitalmarktrechtliche Veröffentlichungen an die Bundesanstalt für Finanzdienstleistungsaufsicht, sofern die Veröffentlichung selbst nicht bereits über Nummer 7 oder Nummer 9 in das Unternehmensregister eingestellt wird;11.Bekanntmachungen der Insolvenzgerichte nach § 9 der Insolvenzordnung, ausgenommen Verfahren nach dem Zehnten Teil der Insolvenzordnung;12.Registerbekanntmachungen aus dem Handels-, Genossenschafts-, Gesellschafts- und Partnerschaftsregister;13.Bekanntmachungen der Bundesanstalt für Finanzdienstleistungsaufsicht nach § 107 Absatz 1 Satz 6, § 109 Absatz 2 Satz 1 und 5, Absatz 3 Satz 2 des Wertpapierhandelsgesetzes und nach § 31 Absatz 4 des Vermögensanlagengesetzes."
