"","fromISO27002","toISO27002"
"1","5.2","5.1"
"2","5.2","5.10"
"3","5.2","5.11"
"4","5.2","5.12"
"5","5.2","5.13"
"6","5.2","5.14"
"7","5.2","5.15"
"8","5.2","5.16"
"9","5.2","5.17"
"10","5.2","5.18"
"11","5.2","5.19"
"12","5.4","6.3"
"13","5.5","5.24"
"14","5.5","5.28"
"15","5.5","5.30"
"16","5.5","5.29"
"17","5.6","5.24"
"18","5.6","5.28"
"19","5.7","5.25"
"20","5.8","5.32"
"21","5.8","5.12"
"22","5.9","5.12"
"23","5.9","5.13"
"24","5.10","5.12"
"25","5.11","5.18"
"26","5.12","5.1"
"27","5.12","5.10"
"28","5.12","5.11"
"29","5.12","5.12"
"30","5.12","5.13"
"31","5.12","5.14"
"32","5.12","5.15"
"33","5.12","5.16"
"34","5.12","5.17"
"35","5.12","5.18"
"36","5.12","5.19"
"37","5.13","5.12"
"38","5.14","5.10"
"39","5.14","5.13"
"40","5.14","5.31"
"41","5.14","5.32"
"42","5.14","5.33"
"43","5.14","5.34"
"44","5.15","5.10"
"45","5.15","5.12"
"46","5.15","5.13"
"47","5.15","5.3"
"48","5.15","5.30"
"49","5.15","5.31"
"50","5.15","5.32"
"51","5.15","5.33"
"52","5.15","5.34"
"53","5.15","5.35"
"54","5.15","5.36"
"55","5.15","5.37"
"56","5.15","5.31"
"57","5.15","5.32"
"58","5.15","5.33"
"59","5.15","5.34"
"60","5.15","5.16"
"61","5.15","5.18"
"62","5.15","5.17"
"63","5.15","5.2"
"64","5.15","5.20"
"65","5.15","5.21"
"66","5.15","5.22"
"67","5.15","5.23"
"68","5.15","5.24"
"69","5.15","5.25"
"70","5.15","5.26"
"71","5.15","5.27"
"72","5.15","5.28"
"73","5.15","5.29"
"74","5.16","5.17"
"75","5.16","5.19"
"76","5.16","5.18"
"77","5.18","5.9"
"78","5.18","5.15"
"79","5.18","5.3"
"80","5.18","5.30"
"81","5.18","5.31"
"82","5.18","5.32"
"83","5.18","5.33"
"84","5.18","5.34"
"85","5.18","5.35"
"86","5.18","5.36"
"87","5.18","5.37"
"88","5.18","6.1"
"89","5.18","6.2"
"90","5.18","6.3"
"91","5.18","6.4"
"92","5.18","6.5"
"93","5.18","6.6"
"94","5.18","5.20"
"95","5.20","5.10"
"96","5.20","5.12"
"97","5.20","5.13"
"98","5.22","5.29"
"99","5.22","5.30"
"100","5.22","5.35"
"101","5.22","5.36"
"102","5.23","5.21"
"103","5.23","5.22"
"104","5.24","6.8"
"105","5.24","5.25"
"106","5.24","5.26"
"107","5.24","5.5"
"108","5.24","5.6"
"109","5.24","5.28"
"110","5.26","5.24"
"111","5.26","5.27"
"112","5.26","5.28"
"113","5.26","5.29"
"114","5.26","5.30"
"115","5.27","5.24"
"116","5.27","6.3"
"117","5.31","5.20"
"118","5.35","5.1"
"119","5.35","5.10"
"120","5.35","5.11"
"121","5.35","5.12"
"122","5.35","5.13"
"123","5.35","5.14"
"124","5.35","5.15"
"125","5.35","5.16"
"126","5.35","5.17"
"127","5.35","5.18"
"128","5.35","5.19"
"129","6.2","6.6"
"130","6.2","5.32"
"131","6.2","5.34"
"132","6.2","5.9"
"133","6.2","5.13"
"134","6.2","6.4"
"135","6.2","6.5"
"136","6.3","6.8"
"137","6.3","5.17"
"138","6.4","5.28"
"139","6.5","6.2"
"140","6.5","6.6"
"141","6.6","5.31"
"142","6.6","5.32"
"143","6.6","5.33"
"144","6.6","5.34"
"145","6.7","6.8"
