"","iso2700xIndex","iso2700xWortlaut","iso2700xDokument","iso2700xReferenz"
"1","ISO27001 5.1","Informationssicherheitspolitik und themenspezifische Richtlinien müssen definiert, von der Geschäftsleitung genehmigt, veröffentlicht, dem zuständigen Personal und den interessierten Parteien mitgeteilt und von diesen zur Kenntnis genommen sowie in geplanten Abständen und bei wesentlichen Änderungen überprüft werden.","ISO/IEC 27001:2022, Edition 3",NA
"2","ISO27001 5.2","Die Aufgaben und Zuständigkeiten im Bereich der Informationssicherheit müssen entsprechend den Erfordernissen des Unternehmens definiert und zugewiesen werden.","ISO/IEC 27001:2022, Edition 3",NA
"3","ISO27001 5.3","Sich widersprechende Aufgaben und Verantwortungsbereiche müssen voneinander getrennt werden.","ISO/IEC 27001:2022, Edition 3",NA
"4","ISO27001 5.4","Die Leitung muss vom gesamten Personal verlangen, dass es die Informationssicherheit im Einklang mit der eingeführten Informationssicherheitspolitik, und den themenspezifischen Richtlinien und Verfahren der Organisation umsetzt.","ISO/IEC 27001:2022, Edition 3",NA
"5","ISO27001 5.5","Die Organisation muss mit den zuständigen Behörden Kontakt aufnehmen und halten.","ISO/IEC 27001:2022, Edition 3",NA
"6","ISO27001 5.6","Die Organisation muss mit speziellen Interessensgruppen oder sonstigen sicherheitsorientierten Expertenforen und Fachverbänden Kontakt aufnehmen und halten.","ISO/IEC 27001:2022, Edition 3",NA
"7","ISO27001 5.7","Informationen über Bedrohungen der Informationssicherheit müssen erhoben und analysiert werden, um Erkenntnisse über Bedrohungen zu gewinnen.","ISO/IEC 27001:2022, Edition 3",NA
"8","ISO27001 5.8","Die Informationssicherheit muss in das Projektmanagement integriert werden.","ISO/IEC 27001:2022, Edition 3",NA
"9","ISO27001 5.9","Ein Inventar der Informationen und anderen damit verbundenen Werte, einschließlich der Eigentümer, muss erstellt und gepflegt werden.","ISO/IEC 27001:2022, Edition 3",NA
"10","ISO27001 5.10","Regeln für den zulässigen Gebrauch und Verfahren für den Umgang mit Informationen und anderen damit verbundenen Werten müssen aufgestellt, dokumentiert und angewendet werden.","ISO/IEC 27001:2022, Edition 3",NA
"11","ISO27001 5.11","Das Personal und gegebenenfalls andere interessierte Parteien müssen alle Werte der Organisation, die sich in ihrem Besitz befinden, bei Änderung oder Beendigung ihres Beschäftigungsverhältnisses, Vertrags oder ihrer Vereinbarung zurückgeben.","ISO/IEC 27001:2022, Edition 3",NA
"12","ISO27001 5.12","Informationen müssen entsprechend den Informationssicherheitserfordernissen der Organisation auf der Grundlage von Vertraulichkeit, Integrität, Verfügbarkeit und relevanten Anforderungen der interessierten Parteien klassifiziert werden.","ISO/IEC 27001:2022, Edition 3",NA
"13","ISO27001 5.13","Ein angemessener Satz von Verfahren zur Kennzeichnung von Informationen muss entsprechend dem von der Organisation eingesetzten Informationsklassifizierungsschema entwickelt und umgesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"14","ISO27001 5.14","Für alle Arten von Übermittlungseinrichtungen innerhalb der Organisation und zwischen der Organisation und anderen Parteien müssen Regeln, Verfahren oder Vereinbarungen zur Informationsübermittlung vorhanden sein.","ISO/IEC 27001:2022, Edition 3",NA
"15","ISO27001 5.15","Regeln zur Steuerung des physischen und logischen Zugriffs auf Informationen und andere damit verbundene Werte müssen auf der Grundlage von Geschäfts- und Informationssicherheitsanforderungen aufgestellt und umgesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"16","ISO27001 5.16","Der gesamte Lebenszyklus von Identitäten muss verwaltet werden.","ISO/IEC 27001:2022, Edition 3",NA
"17","ISO27001 5.17","Die Zuweisung und Verwaltung von Authentisierungsinformationen muss durch einen Managementprozess gesteuert werden, der auch die Beratung des Personals über den angemessenen Umgang mit Authentisierungsinformationen umfasst.","ISO/IEC 27001:2022, Edition 3",NA
"18","ISO27001 5.18","Zugangsrechte zu Informationen und anderen damit verbundenen Werten müssen in Übereinstimmung mit der themenspezifischen Richtlinie und den Regeln der Organisation für die Zugangssteuerung bereitgestellt, überprüft, geändert und entfernt werden.","ISO/IEC 27001:2022, Edition 3",NA
"19","ISO27001 5.19","Es müssen Prozesse und Verfahren festgelegt und umgesetzt werden, um die mit der Nutzung der Produkte oder Dienstleistungen des Lieferanten verbundenen Informationssicherheitsrisiken zu beherrschen.","ISO/IEC 27001:2022, Edition 3",NA
"20","ISO27001 5.20","Je nach Art der Lieferantenbeziehung müssen die entsprechenden Anforderungen an die Informationssicherheit festgelegt und mit jedem Lieferanten vereinbart werden.","ISO/IEC 27001:2022, Edition 3",NA
"21","ISO27001 5.21","Es müssen Prozesse und Verfahren festgelegt und umgesetzt werden, um die mit der IKT-Produkt- und Dienstleistungslieferkette verbundenen Informationssicherheitsrisiken zu beherrschen.","ISO/IEC 27001:2022, Edition 3",NA
"22","ISO27001 5.22","Die Organisation muss regelmäßig die Informationssicherheitspraktiken der Lieferanten und die Erbringung von Dienstleistungen überwachen, überprüfen, bewerten und Änderungen steuern.","ISO/IEC 27001:2022, Edition 3",NA
"23","ISO27001 5.23","Die Verfahren für den Erwerb, die Nutzung, die Verwaltung und den Ausstieg aus Cloud-Diensten müssen in Übereinstimmung mit den Informationssicherheitsanforderungen der Organisation festgelegt werden.","ISO/IEC 27001:2022, Edition 3",NA
"24","ISO27001 5.24","Die Organisation muss die Handhabung von Informationssicherheitsvorfällen planen und vorbereiten, indem sie Prozesse, Rollen und Verantwortlichkeiten für die Handhabung von Informationssicherheitsvorfällen definiert, einführt und kommuniziert.","ISO/IEC 27001:2022, Edition 3",NA
"25","ISO27001 5.25","Die Organisation muss Informationssicherheitsereignisse beurteilen und entscheiden, ob sie als Informationssicherheitsvorfälle eingestuft werden müssen.","ISO/IEC 27001:2022, Edition 3",NA
"26","ISO27001 5.26","Auf Informationssicherheitsvorfälle muss entsprechend den dokumentierten Verfahren reagiert werden.","ISO/IEC 27001:2022, Edition 3",NA
"27","ISO27001 5.27","Aus Informationssicherheitsvorfällen gewonnene Erkenntnisse müssen zur Verstärkung und Verbesserung der Informationssicherheitsmaßnahmen genutzt werden.","ISO/IEC 27001:2022, Edition 3",NA
