"","fromISO2700x","toISO2700x"
"1","ISO27002 5.2","ISO27002 5.1"
"2","ISO27002 5.2","ISO27002 5.10"
"3","ISO27002 5.2","ISO27002 5.11"
"4","ISO27002 5.2","ISO27002 5.12"
"5","ISO27002 5.2","ISO27002 5.13"
"6","ISO27002 5.2","ISO27002 5.14"
"7","ISO27002 5.2","ISO27002 5.15"
"8","ISO27002 5.2","ISO27002 5.16"
"9","ISO27002 5.2","ISO27002 5.17"
"10","ISO27002 5.2","ISO27002 5.18"
"11","ISO27002 5.2","ISO27002 5.19"
"12","ISO27002 5.4","ISO27002 6.3"
"13","ISO27002 5.5","ISO27002 5.24"
"14","ISO27002 5.5","ISO27002 5.28"
"15","ISO27002 5.5","ISO27002 5.30"
"16","ISO27002 5.5","ISO27002 5.29"
"17","ISO27002 5.6","ISO27002 5.24"
"18","ISO27002 5.6","ISO27002 5.28"
"19","ISO27002 5.7","ISO27002 5.25"
"20","ISO27002 5.8","ISO27002 5.32"
"21","ISO27002 5.8","ISO27002 5.12"
"22","ISO27002 5.9","ISO27002 5.12"
"23","ISO27002 5.9","ISO27002 5.13"
"24","ISO27002 5.10","ISO27002 5.12"
"25","ISO27002 5.11","ISO27002 5.18"
"26","ISO27002 5.12","ISO27002 5.1"
"27","ISO27002 5.12","ISO27002 5.10"
"28","ISO27002 5.12","ISO27002 5.11"
"29","ISO27002 5.12","ISO27002 5.12"
"30","ISO27002 5.12","ISO27002 5.13"
"31","ISO27002 5.12","ISO27002 5.14"
"32","ISO27002 5.12","ISO27002 5.15"
"33","ISO27002 5.12","ISO27002 5.16"
"34","ISO27002 5.12","ISO27002 5.17"
"35","ISO27002 5.12","ISO27002 5.18"
"36","ISO27002 5.12","ISO27002 5.19"
"37","ISO27002 5.13","ISO27002 5.12"
"38","ISO27002 5.14","ISO27002 5.10"
"39","ISO27002 5.14","ISO27002 5.13"
"40","ISO27002 5.14","ISO27002 5.31"
"41","ISO27002 5.14","ISO27002 5.32"
"42","ISO27002 5.14","ISO27002 5.33"
"43","ISO27002 5.14","ISO27002 5.34"
"44","ISO27002 5.15","ISO27002 5.10"
"45","ISO27002 5.15","ISO27002 5.12"
"46","ISO27002 5.15","ISO27002 5.13"
"47","ISO27002 5.15","ISO27002 5.3"
"48","ISO27002 5.15","ISO27002 5.30"
"49","ISO27002 5.15","ISO27002 5.31"
"50","ISO27002 5.15","ISO27002 5.32"
"51","ISO27002 5.15","ISO27002 5.33"
"52","ISO27002 5.15","ISO27002 5.34"
"53","ISO27002 5.15","ISO27002 5.35"
"54","ISO27002 5.15","ISO27002 5.36"
"55","ISO27002 5.15","ISO27002 5.37"
"56","ISO27002 5.15","ISO27002 5.31"
"57","ISO27002 5.15","ISO27002 5.32"
"58","ISO27002 5.15","ISO27002 5.33"
"59","ISO27002 5.15","ISO27002 5.34"
"60","ISO27002 5.15","ISO27002 5.16"
"61","ISO27002 5.15","ISO27002 5.18"
"62","ISO27002 5.15","ISO27002 5.17"
"63","ISO27002 5.15","ISO27002 5.2"
"64","ISO27002 5.15","ISO27002 5.20"
"65","ISO27002 5.15","ISO27002 5.21"
"66","ISO27002 5.15","ISO27002 5.22"
"67","ISO27002 5.15","ISO27002 5.23"
"68","ISO27002 5.15","ISO27002 5.24"
"69","ISO27002 5.15","ISO27002 5.25"
"70","ISO27002 5.15","ISO27002 5.26"
"71","ISO27002 5.15","ISO27002 5.27"
"72","ISO27002 5.15","ISO27002 5.28"
"73","ISO27002 5.15","ISO27002 5.29"
"74","ISO27002 5.16","ISO27002 5.17"
"75","ISO27002 5.16","ISO27002 5.19"
"76","ISO27002 5.16","ISO27002 5.18"
"77","ISO27002 5.18","ISO27002 5.9"
"78","ISO27002 5.18","ISO27002 5.15"
"79","ISO27002 5.18","ISO27002 5.3"
"80","ISO27002 5.18","ISO27002 5.30"
"81","ISO27002 5.18","ISO27002 5.31"
"82","ISO27002 5.18","ISO27002 5.32"
"83","ISO27002 5.18","ISO27002 5.33"
"84","ISO27002 5.18","ISO27002 5.34"
"85","ISO27002 5.18","ISO27002 5.35"
"86","ISO27002 5.18","ISO27002 5.36"
"87","ISO27002 5.18","ISO27002 5.37"
"88","ISO27002 5.18","ISO27002 6.1"
"89","ISO27002 5.18","ISO27002 6.2"
"90","ISO27002 5.18","ISO27002 6.3"
"91","ISO27002 5.18","ISO27002 6.4"
"92","ISO27002 5.18","ISO27002 6.5"
"93","ISO27002 5.18","ISO27002 6.6"
"94","ISO27002 5.18","ISO27002 5.20"
"95","ISO27002 5.20","ISO27002 5.10"
"96","ISO27002 5.20","ISO27002 5.12"
"97","ISO27002 5.20","ISO27002 5.13"
"98","ISO27002 5.22","ISO27002 5.29"
"99","ISO27002 5.22","ISO27002 5.30"
"100","ISO27002 5.22","ISO27002 5.35"
"101","ISO27002 5.22","ISO27002 5.36"
"102","ISO27002 5.23","ISO27002 5.21"
"103","ISO27002 5.23","ISO27002 5.22"
"104","ISO27002 5.24","ISO27002 6.8"
